,Course,College,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,SUM,AVG,English,Quanty
2471,BS CD,CSWCD,41.05,82.26,66.81,63.45,43.49,60.09,297.06,59.412,123.31,106.94
2492,BS CD,CSWCD,44.05,71.99,51.68,79.96,43.49,60.09,291.17,58.234,116.04,123.45
2494,BS CD,CSWCD,70.75,48.4,36.55,44.18,53.29,60.09,253.17,50.634,119.15,97.47
2495,BS CD,CSWCD,63.53,61.11,29.96,75.28,33.69,60.09,263.57,52.714,124.64,108.97
2511,BS CD,CSWCD,63.53,42.05,59.25,63.45,43.49,60.09,271.77,54.354,105.58,106.94
2514,BSSW,CSWCD,49.95,66.85,36.55,75.28,63.1,60.09,291.73,58.346,116.8,138.38
2541,BSSW,CSWCD,63.53,48.4,59.25,53.82,43.49,60.09,268.49,53.698,111.93,97.31
2634,BEED,CTE,44.05,82.26,36.55,75.28,53.29,60.09,291.43,58.286,126.31,128.57
1,BAT,College of Agriculture,58.56,71.99,59.25,24.91,63.1,61.37,277.81,55.562,130.55,88.01
2,BAT,College of Agriculture,61.05,35.7,59.25,70.61,63.1,61.37,289.71,57.942,96.75,133.71
4,BS AGRI,College of Agriculture,52.9,77.12,29.96,75.28,53.29,61.37,288.55,57.71,130.02,128.57
19,BS AGRI,College of Agriculture,66.01,54.75,51.68,2.74,95.65,61.37,270.83,54.166,120.76,98.39
24,BS AGRI,College of Agriculture,72.78,54.75,24.36,24.91,79.78,61.37,256.58,51.316,127.53,104.69
32,BS FT,College of Agriculture,61.05,54.75,72.66,44.18,43.49,61.37,276.13,55.226,115.8,87.67
58,BS ARCH,College of Architecture,44.05,48.4,66.81,70.61,83.75,61.37,313.62,62.724,92.45,154.36
68,BS ARCH,College of Architecture,52.9,77.12,24.36,53.82,83.75,61.37,291.95,58.39,130.02,137.57
76,BS ARCH,College of Architecture,37.99,82.26,59.25,70.61,63.1,61.37,313.21,62.642,120.25,133.71
148,BS ARCH,College of Architecture,44.05,90.94,44.12,63.45,53.29,61.37,295.85,59.17,134.99,116.74
178,BS ARCH,College of Architecture,66.01,66.85,7.54,70.61,72.9,61.37,283.91,56.782,132.86,143.51
208,AB IS,CAIS,63.53,77.12,44.12,14.31,72.9,61.37,271.98,54.396,140.65,87.21
209,AB IS,CAIS,63.53,35.7,36.55,75.28,72.9,61.37,283.96,56.792,99.23,148.18
228,AB IS,CAIS,68.5,48.4,44.12,34.54,72.9,61.37,268.46,53.692,116.9,107.44
233,AB IS,CAIS,70.75,48.4,44.12,63.45,33.69,61.37,260.41,52.082,119.15,97.14
322,BS CRIM,CCJE,52.9,61.11,51.68,79.96,43.49,61.37,289.14,57.828,114.01,123.45
348,BS CRIM,CCJE,44.05,77.12,29.96,75.28,79.78,61.37,306.19,61.238,121.17,155.06
391,BS CRIM,CCJE,63.53,61.11,44.12,44.18,63.1,61.37,276.04,55.208,124.64,107.28
428,BS CRIM,CCJE,68.5,54.75,59.25,53.82,26.06,61.37,262.38,52.476,123.25,79.88
434,BS CRIM,CCJE,58.56,82.26,24.36,63.45,53.29,61.37,281.92,56.384,140.82,116.74
437,BS CRIM,CCJE,68.5,71.99,66.81,34.54,15.15,61.37,256.99,51.398,140.49,49.69
546,BS CE,COE,52.9,71.99,59.25,24.91,79.78,61.37,288.83,57.766,124.89,104.69
724,BS GE,COE,66.01,30.03,85.06,24.91,53.29,61.37,259.3,51.86,96.04,78.2
781,BS ME,COE,61.05,30.03,59.25,70.61,72.9,61.37,293.84,58.768,91.08,143.51
824,BS SE,COE,49.95,48.4,51.68,63.45,87.72,61.37,301.2,60.24,98.35,151.17
879,BS AGRO,CFES,61.05,48.4,59.25,70.61,43.49,61.37,282.8,56.56,109.45,114.1
940,BS HE,CHE,66.01,61.11,24.36,70.61,53.29,61.37,275.38,55.076,127.12,123.9
1053,BSCS,CCS,63.53,61.11,66.81,18.16,63.1,61.37,272.71,54.542,124.64,81.26
1090,BSCS,CCS,74.8,35.7,72.66,34.54,26.06,61.37,243.76,48.752,110.5,60.6
1127,BSIT,CCS,61.05,42.05,51.68,70.61,63.1,61.37,288.49,57.698,103.1,133.71
1143,BSIT,CCS,78.85,66.85,44.12,10.45,33.69,61.37,233.96,46.792,145.7,44.14
1159,BSIT,CCS,52.9,66.85,51.68,53.82,72.9,61.37,298.15,59.63,119.75,126.72
1211,AB ENG,CLA,63.53,54.75,59.25,24.91,72.9,61.37,275.34,55.068,118.28,97.81
1234,AB ENG,CLA,70.75,42.05,59.25,53.82,33.69,61.37,259.56,51.912,112.8,87.51
1242,AB ENG,CLA,55.84,77.12,66.81,24.91,53.29,61.37,277.97,55.594,132.96,78.2
1289,AB FIL,CLA,47,82.26,59.25,18.16,83.75,61.37,290.42,58.084,129.26,101.91
1297,AB FIL,CLA,74.8,48.4,36.55,44.18,43.49,61.37,247.42,49.484,123.2,87.67
