,Course,College,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,SUM,AVG,English,Quanty
1033,CSSPE,CCSPE,66.01,82.26,66.81,44.18,53.29,69.19,312.55,62.51,148.27,97.47
1034,CSSPE,CCSPE,70.75,77.12,59.25,53.82,53.29,70.3,314.23,62.846,147.87,107.11
1035,CSSPE,CCSPE,44.05,77.12,66.81,89.31,79.78,70.3,357.07,71.414,121.17,169.09
1036,CSSPE,CCSPE,72.78,54.75,66.81,70.61,53.29,70.3,318.24,63.648,127.53,123.9
1037,CSSPE,CCSPE,84.91,42.05,24.36,63.45,72.9,70.3,287.67,57.534,126.96,136.35
1038,CSSPE,CCSPE,55.84,54.75,89.19,84.63,43.49,70.3,327.9,65.58,110.59,128.12
1039,CSSPE,CCSPE,58.56,54.75,72.66,75.28,87.72,71.42,348.97,69.794,113.31,163.0
1040,CSSPE,CCSPE,80.58,82.26,66.81,6.59,63.1,71.42,299.34,59.868,162.84,69.69
1041,CSSPE,CCSPE,66.01,87.4,24.36,63.45,91.68,72.43,332.9,66.58,153.41,155.13
1042,CSSPE,CCSPE,66.01,71.99,59.25,79.96,72.9,73.34,350.11,70.022,138.0,152.86
1043,CSSPE,CCSPE,80.58,90.94,72.66,18.16,26.06,73.34,288.4,57.68,171.52,44.22
1044,CSSPE,CCSPE,74.8,77.12,72.66,44.18,53.29,73.34,322.05,64.41,151.92,97.47
1045,CSSPE,CCSPE,72.78,61.11,80.93,70.61,53.29,74.25,338.72,67.744,133.89,123.9
1046,CSSPE,CCSPE,72.78,71.99,59.25,63.45,79.78,74.25,347.25,69.45,144.77,143.23
1047,CSSPE,CCSPE,70.75,54.75,80.93,70.61,72.9,74.25,349.94,69.988,125.5,143.51
1048,CSSPE,CCSPE,76.83,77.12,51.68,53.82,72.9,74.25,332.35,66.47,153.95,126.72
1049,CSSPE,CCSPE,52.9,77.12,91.97,79.96,53.29,74.25,355.24,71.048,130.02,133.25
1050,CSSPE,CCSPE,66.01,54.75,94.84,63.45,63.1,75.16,342.15,68.43,120.76,126.55
1051,CSSPE,CCSPE,49.95,61.11,96.28,79.96,79.78,76.07,367.08,73.416,111.06,159.74
1052,CSSPE,CCSPE,76.83,61.11,59.25,53.82,91.68,76.07,342.69,68.538,137.94,145.5
1053,CSSPE,CCSPE,82.02,54.75,85.06,70.61,33.69,76.98,326.13,65.226,136.77,104.3
1054,CSSPE,CCSPE,41.05,87.4,72.66,94.54,87.72,76.98,383.37,76.674,128.45,182.26
1055,CSSPE,CCSPE,82.02,48.4,80.93,63.45,63.1,76.98,337.9,67.58,130.42,126.55
1056,CSSPE,CCSPE,68.5,82.26,89.19,53.82,63.1,76.98,356.87,71.374,150.76,116.92
1057,CSSPE,CCSPE,70.75,71.99,85.06,63.45,72.9,76.98,364.15,72.83,142.74,136.35
1058,CSSPE,CCSPE,86.35,77.12,51.68,53.82,43.49,76.98,312.46,62.492,163.47,97.31
1059,CSSPE,CCSPE,84.91,66.85,59.25,75.28,43.49,77.9,329.78,65.956,151.76,118.77
1060,CSSPE,CCSPE,66.01,98.7,89.19,18.16,63.1,77.9,335.16,67.032,164.71,81.26
1061,CSSPE,CCSPE,66.01,71.99,76.79,92.22,63.1,77.9,370.11,74.022,138.0,155.32
1062,CSSPE,CCSPE,84.91,82.26,51.68,24.91,83.75,78.81,327.51,65.502,167.17,108.66
1063,CSSPE,CCSPE,78.85,90.94,76.79,70.61,33.69,79.72,350.88,70.176,169.79,104.3
1064,CSSPE,CCSPE,68.5,61.11,72.66,84.63,95.65,79.72,382.55,76.51,129.61,180.28
1065,CSSPE,CCSPE,66.01,35.7,98.86,79.96,72.9,79.72,353.43,70.686,101.71,152.86
1066,CSSPE,CCSPE,70.75,82.26,80.93,84.63,63.1,80.63,381.67,76.334,153.01,147.73
1067,CSSPE,CCSPE,66.01,77.12,72.66,94.54,79.78,81.43,390.11,78.022,143.13,174.32
1068,CSSPE,CCSPE,76.83,94.82,59.25,53.82,91.68,82.81,376.4,75.28,171.65,145.5
1069,CSSPE,CCSPE,84.91,82.26,66.81,44.18,87.72,82.81,365.88,73.176,167.17,131.9
1070,CSSPE,CCSPE,76.83,71.99,85.06,93.38,43.49,82.81,370.75,74.15,148.82,136.87
1071,CSSPE,CCSPE,86.35,87.4,66.81,79.96,43.49,83.5,364.01,72.802,173.75,123.45
1072,CSSPE,CCSPE,86.35,77.12,89.19,84.63,53.29,86.95,390.58,78.116,163.47,137.92
1073,CSSPE,CCSPE,84.91,96.76,89.19,18.16,87.72,87.64,376.74,75.348,181.67,105.88
1074,CSSPE,CCSPE,91.83,61.11,98.86,24.91,83.75,89.65,360.46,72.092,152.94,108.66
